"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Both Sexes,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,
,,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over,All Ages,Below 5,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80 years old and over
,....City of Taguig,882622,90829,85123,80819,74250,87932,90951,81765,68330,57484,44835,37324,29748,22939,14702,8302,3860,3429,443918,47030,44188,41700,37534,43882,46024,41916,34732,29269,22427,18137,14172,10495,6628,3398,1413,973,438704,43799,40935,39119,36716,44050,44927,39849,33598,28215,22408,19187,15576,12444,8074,4904,2447,2456
,....Pateros,65064,5845,5934,5869,5414,5949,5900,5607,4826,4307,3657,3302,2667,2143,1540,1008,561,535,32366,3016,3070,3049,2777,2966,2965,2872,2405,2158,1796,1614,1289,944,681,407,195,162,32698,2829,2864,2820,2637,2983,2935,2735,2421,2149,1861,1688,1378,1199,859,601,366,373
,..CORDILLERA ADMINISTRATIVE REGION (CAR),1791121,158412,171000,175745,178302,174000,159256,140033,121818,104424,88546,81832,71075,58858,42484,27216,16714,21406,917431,81950,89241,90577,90959,89131,82705,73366,64290,54819,46262,41978,36101,29029,20297,12257,6853,7616,873690,76462,81759,85168,87343,84869,76551,66667,57528,49605,42284,39854,34974,29829,22187,14959,9861,13790
,....Abra,250309,19821,24125,25170,25328,21023,19781,18018,16609,14854,12620,12128,10944,9839,7406,4980,3085,4578,127632,10326,12530,12969,13020,10905,10242,9334,8721,7833,6525,6300,5504,4905,3514,2203,1215,1586,122677,9495,11595,12201,12308,10118,9539,8684,7888,7021,6095,5828,5440,4934,3892,2777,1870,2992
,....Apayao,123937,11169,12088,13012,12476,11632,10105,8725,7960,7317,6713,5734,5035,4214,2960,1954,1250,1593,64221,5824,6375,6812,6396,6018,5342,4628,4173,3856,3522,3070,2608,2116,1426,892,555,608,59716,5345,5713,6200,6080,5614,4763,4097,3787,3461,3191,2664,2427,2098,1534,1062,695,985
,....Benguet *,459468,44600,44600,43730,43789,44984,42441,38230,32625,26865,21946,20356,17733,14108,9629,5953,3695,4184,238436,22964,23231,22403,22330,23155,22401,20432,17559,14382,11778,10639,9350,7211,4759,2746,1573,1523,221032,21636,21369,21327,21459,21829,20040,17798,15066,12483,10168,9717,8383,6897,4870,3207,2122,2661
,....Ifugao,207130,20424,21918,22235,21219,19754,18376,15723,13209,11348,9466,8398,7253,6032,4685,2837,1695,2558,107699,10538,11484,11389,10901,10216,9709,8410,7263,6171,5215,4351,3734,2951,2321,1361,707,978,99431,9886,10434,10846,10318,9538,8667,7313,5946,5177,4251,4047,3519,3081,2364,1476,988,1580
,....Kalinga,229328,22218,23620,24173,24196,22535,19826,16853,14064,12536,10914,9848,8279,6952,5188,3385,2174,2567,118539,11517,12261,12607,12376,11630,10366,9082,7500,6698,5667,5022,4287,3387,2587,1574,952,1026,110789,10701,11359,11566,11820,10905,9460,7771,6564,5838,5247,4826,3992,3565,2601,1811,1222,1541
,....Mountain Province,157798,13607,15809,16712,16767,14611,13085,11666,9693,8449,7474,7198,6371,5351,4035,2646,1830,2494,81938,7058,8263,8658,8654,7781,6934,6149,5209,4499,4000,3907,3326,2729,2021,1153,751,846,75860,6549,7546,8054,8113,6830,6151,5517,4484,3950,3474,3291,3045,2622,2014,1493,1079,1648
,....City of Baguio,363151,26573,28840,30713,34527,39461,35642,30818,27658,23055,19413,18170,15460,12362,8581,5461,2985,3432,178966,13723,15097,15739,17282,19426,17711,15331,13865,11380,9555,8689,7292,5730,3669,2328,1100,1049,184185,12850,13743,14974,17245,20035,17931,15487,13793,11675,9858,9481,8168,6632,4912,3133,1885,2383
,..REGION I (ILOCOS REGION),5292297,479836,499534,514572,501456,462134,421377,379586,356300,323856,286271,263580,226279,189973,141342,104465,65454,76282,2680776,248695,259962,267268,258916,238151,216822,195011,182835,166928,147297,134310,113221,92493,65285,44424,24746,24412,2611521,231141,239572,247304,242540,223983,204555,184575,173465,156928,138974,129270,113058,97480,76057,60041,40708,51870
,....Ilocos Norte,608508,46554,49215,55235,54005,52082,48237,45395,44160,39434,35341,33368,28339,23677,18078,13389,9749,12250,305992,24053,25721,28773,27985,26963,24526,23258,22815,20269,18063,16815,13881,11249,8154,5597,3767,4103,302516,22501,23494,26462,26020,25119,23711,22137,21345,19165,17278,16553,14458,12428,9924,7792,5982,8147
,....Ilocos Sur,704218,53016,59988,65732,64483,58781,56268,51235,49720,45825,39850,37299,33199,27675,21470,15166,10630,13881,355807,27602,31219,33965,33297,30445,29079,26429,25568,23795,20548,19212,16717,13447,9805,6405,3871,4403,348411,25414,28769,31767,31186,28336,27189,24806,24152,22030,19302,18087,16482,14228,11665,8761,6759,9478
,....La Union,820343,67901,72652,75487,75025,72345,66842,60960,57321,51684,45366,42627,37567,32171,23544,16869,9730,12252,414862,35210,37891,39168,38729,37253,34309,31215,29443,26567,23336,21755,18730,15622,10902,7154,3723,3855,405481,32691,34761,36319,36296,35092,32533,29745,27878,25117,22030,20872,18837,16549,12642,9715,6007,8397
,....Pangasinan,3159228,312365,317679,318118,307943,278926,250030,221996,205099,186913,165714,150286,127174,106450,78250,59041,35345,37899,1604115,161830,165131,165362,158905,143490,128908,114109,105009,96297,85350,76528,63893,52175,36424,25268,13385,12051,1555113,150535,152548,152756,149038,135436,121122,107887,100090,90616,80364,73758,63281,54275,41826,33773,21960,25848
,..REGION II (CAGAYAN VALLEY),3679748,330628,360920,366630,345848,329597,304439,272457,244230,228991,199708,179505,158411,131106,93670,58740,34129,40739,1874484,170454,187779,189028,178096,169442,156337,140913,126525,118800,103705,92002,80117,64610,44049,25532,13384,13711,1805264,160174,173141,177602,167752,160155,148102,131544,117705,110191,96003,87503,78294,66496,49621,33208,20745,27028
,....Batanes,18593,1342,1518,1656,1790,1605,1494,1303,1202,1193,1192,1026,893,679,560,386,316,438,9541,684,828,863,916,859,825,696,620,651,614,540,468,323,262,160,114,118,9052,658,690,793,874,746,669,607,582,542,578,486,425,356,298,226,202,320
,....Cagayan,1265540,109736,123700,126024,118615,114666,103798,91679,83107,77360,68308,61269,55562,47125,34133,21112,12827,16519,640546,56847,64441,65069,61057,58829,52967,46957,42569,39677,35292,31067,27816,22683,15852,8943,4955,5525,624994,52889,59259,60955,57558,55837,50831,44722,40538,37683,33016,30202,27746,24442,18281,12169,7872,10994
,....Isabela,1695539,154625,164949,168961,158359,151139,141693,127440,112591,107391,93214,83922,72827,59072,41626,26307,15032,16391,863523,79424,85694,87154,81649,77409,72534,65846,58106,55667,48330,42866,36940,29420,19555,11513,5860,5556,832016,75201,79255,81807,76710,73730,69159,61594,54485,51724,44884,41056,35887,29652,22071,14794,9172,10835
,....Nueva Vizcaya,496546,46071,50144,48787,47325,44108,40671,37009,33532,30351,25980,23819,20919,17457,12598,8019,4272,5484,255505,23838,26100,25020,24218,22982,21175,19509,17914,16103,13636,12466,10684,8727,5994,3570,1735,1834,241041,22233,24044,23767,23107,21126,19496,17500,15618,14248,12344,11353,10235,8730,6604,4449,2537,3650
,....Quirino,203530,18854,20609,21202,19759,18079,16783,15026,13798,12696,11014,9469,8210,6773,4753,2916,1682,1907,105369,9661,10716,10922,10256,9363,8836,7905,7316,6702,5833,5063,4209,3457,2386,1346,720,678,98161,9193,9893,10280,9503,8716,7947,7121,6482,5994,5181,4406,4001,3316,2367,1570,962,1229
,..REGION III (CENTRAL LUZON),12387811,1188464,1211975,1218156,1152536,1150568,1052402,930115,841804,777765,665783,607096,496775,402832,282382,193592,106218,109348,6272297,614754,631189,631237,592278,588612,537260,474054,425786,395517,339182,305450,248107,196046,131614,84212,41714,35285,6115514,573710,580786,586919,560258,561956,515142,456061,416018,382248,326601,301646,248668,206786,150768,109380,64504,74063
,....Aurora,234991,23603,25017,25458,23791,21160,18575,16728,14440,13266,12419,11026,9218,7510,5300,3441,2039,2000,120266,12135,13004,13198,12155,10847,9500,8663,7497,6846,6415,5754,4883,3749,2567,1545,832,676,114725,11468,12013,12260,11636,10313,9075,8065,6943,6420,6004,5272,4335,3761,2733,1896,1207,1324
,....Bataan,849575,85714,85450,84388,77625,78481,71061,63884,58679,52910,43705,40186,33815,28600,20068,12933,5883,6193,428745,44152,44313,43715,39859,40365,36120,32550,29494,26589,22096,19907,16565,13696,9193,5782,2340,2009,420830,41562,41137,40673,37766,38116,34941,31334,29185,26321,21609,20279,17250,14904,10875,7151,3543,4184
,....Bulacan,3696937,346244,358629,362009,341372,348472,320087,280918,258248,240939,201543,181146,147038,117744,81361,53755,28678,28754,1868036,179855,187438,187307,174968,178062,164032,143302,130319,122074,101741,90214,72369,56238,37366,22677,10980,9094,1828901,166389,171191,174702,166404,170410,156055,137616,127929,118865,99802,90932,74669,61506,43995,31078,17698,19660
,....Nueva Ecija,2306751,222523,227574,228527,212279,204790,191183,167704,153695,143212,125639,116481,96819,78351,54939,36921,22741,23373,1169247,114947,118661,118680,109062,104966,97757,85652,77967,73275,64120,59148,48655,38419,25882,15869,8840,7347,1137504,107576,108913,109847,103217,99824,93426,82052,75728,69937,61519,57333,48164,39932,29057,21052,13901,16026
,....Pampanga *,2433144,230638,229762,234412,230387,233850,210423,185378,165452,154501,131028,120030,95329,77035,53968,38718,20771,21462,1236783,119058,119038,121748,118602,119986,107589,94647,84027,78839,67221,60872,48170,38086,25662,17391,8486,7361,1196361,111580,110724,112664,111785,113864,102834,90731,81425,75662,63807,59158,47159,38949,28306,21327,12285,14101
,....Tarlac,1499064,147415,152140,152327,139744,132584,121083,108007,97941,90534,80601,73351,60700,49980,35911,26129,14879,15738,762437,76227,79487,79108,72252,68336,62247,55219,49901,46407,41534,37126,30723,24637,16798,11464,5873,5098,736627,71188,72653,73219,67492,64248,58836,52788,48040,44127,39067,36225,29977,25343,19113,14665,9006,10640
,....Zambales *,647545,59897,65340,65403,61389,56788,50893,48043,43145,38306,34124,32426,27534,22819,16451,11761,6276,6950,327966,31191,34052,33629,31751,28970,26033,24559,21827,19515,17518,16435,13852,11235,7661,5184,2419,2135,319579,28706,31288,31774,29638,27818,24860,23484,21318,18791,16606,15991,13682,11584,8790,6577,3857,4815
,....City of Angeles,461165,49742,45030,42518,41780,47512,45171,38483,32803,28437,22561,19763,15777,12494,8192,5516,2683,2703,230182,25374,23287,21956,21207,23441,21942,18902,16213,14291,11437,9756,7875,6101,3837,2531,1107,925,230983,24368,21743,20562,20573,24071,23229,19581,16590,14146,11124,10007,7902,6393,4355,2985,1576,1778
,....City of Olongapo,258639,22688,23033,23114,24169,26931,23926,20970,17401,15660,14163,12687,10545,8299,6192,4418,2268,2175,128635,11815,11909,11896,12422,13639,12040,10560,8541,7681,7100,6238,5015,3885,2648,1769,837,640,130004,10873,11124,11218,11747,13292,11886,10410,8860,7979,7063,6449,5530,4414,3544,2649,1431,1535
,..REGION IV-A (CALABARZON),16139770,1553093,1571650,1547516,1470129,1503117,1425154,1292281,1177132,1060941,869587,757316,618559,499642,343916,217354,117635,114748,8113997,802093,816299,800293,753831,764034,720390,656566,592020,534437,439265,375347,301261,236580,154720,90027,42906,33928,8025773,751000,755351,747223,716298,739083,704764,635715,585112,526504,430322,381969,317298,263062,189196,127327,74729,80820
,....Batangas,2902855,275880,275394,274015,272447,277566,257367,221474,205178,185228,156038,136396,109209,90319,66000,45943,26315,28086,1459795,143016,143832,142327,140241,141368,130025,112325,103200,93891,79031,68192,53874,43131,29411,18445,9311,8175,1443060,132864,131562,131688,132206,136198,127342,109149,101978,91337,77007,68204,55335,47188,36589,27498,17004,19911
,....Cavite,4318663,401577,404744,397632,380078,403532,388502,363847,333006,296898,240076,207111,168196,132179,87976,55724,28715,28870,2160830,207692,210400,205658,194264,204168,196029,183749,166403,147703,119823,101244,80613,61490,39350,23035,10534,8675,2157833,193885,194344,191974,185814,199364,192473,180098,166603,149195,120253,105867,87583,70689,48626,32689,18181,20195
,....Laguna,3373136,312077,316639,309240,290031,318526,320611,287125,258468,230560,181554,156676,128381,104814,71865,42925,22563,21081,1692202,161520,164023,160063,149221,161193,161350,146034,129600,115663,91800,77260,61354,49205,31981,17753,8167,6015,1680934,150557,152616,149177,140810,157333,159261,141091,128868,114897,89754,79416,67027,55609,39884,25172,14396,15066
,....Quezon *,1945444,200888,210448,213163,196338,169814,148037,131709,118877,111356,98943,91951,78587,64989,46083,29239,17856,17166,988919,103412,109075,109877,101089,87832,75770,67553,61124,57464,50972,46962,40051,32005,21607,12399,6588,5139,956525,97476,101373,103286,95249,81982,72267,64156,57753,53892,47971,44989,38536,32984,24476,16840,11268,12027
,....Rizal,3321325,332880,335320,324911,304135,306761,287393,268310,243840,220542,179065,152454,123430,98761,65929,39858,20152,17584,1673108,170988,173980,167721,155306,155785,145339,136918,122700,111531,90692,75565,60115,46720,29738,16968,7631,5411,1648217,161892,161340,157190,148829,150976,142054,131392,121140,109011,88373,76889,63315,52041,36191,22890,12521,12173
,....City of Lucena,278347,29791,29105,28555,27100,26918,23244,19816,17763,16357,13911,12728,10756,8580,6063,3665,2034,1961,139143,15465,14989,14647,13710,13688,11877,9987,8993,8185,6947,6124,5254,4029,2633,1427,675,513,139204,14326,14116,13908,13390,13230,11367,9829,8770,8172,6964,6604,5502,4551,3430,2238,1359,1448
,..MIMAROPA REGION,3212287,331973,356104,357807,338454,293266,251666,218745,198013,178999,158431,139366,117682,97207,69501,47198,29041,28834,1638824,171875,184463,185005,172855,150634,128144,112268,102361,93247,82495,71719,60104,48268,33211,20872,11775,9528,1573463,160098,171641,172802,165599,142632,123522,106477,95652,85752,75936,67647,57578,48939,36290,26326,17266,19306
,....Marinduque,238830,23480,24755,26108,25028,19016,14942,14174,13428,13654,12431,12166,10321,9583,7426,5460,3492,3366,120345,12290,12829,13420,12884,10030,7622,7106,6823,6983,6362,6171,5091,4679,3434,2353,1311,957,118485,11190,11926,12688,12144,8986,7320,7068,6605,6671,6069,5995,5230,4904,3992,3107,2181,2409
,....Occidental Mindoro,521444,58027,61101,60328,55561,45682,39153,34362,31855,28835,25779,22235,18187,14630,10292,7172,4131,4114,267744,30098,31779,31434,28443,23487,19971,17844,16507,15121,13414,11476,9425,7319,4957,3218,1779,1472,253700,27929,29322,28894,27118,22195,19182,16518,15348,13714,12365,10759,8762,7311,5335,3954,2352,2642
,....Oriental Mindoro,906661,92526,98117,99767,93494,80010,70952,62794,56654,52447,46305,40825,34226,28660,20400,13525,7881,8078,458903,47829,50999,51307,47845,40859,35987,31775,29023,27027,23870,20764,17165,13889,9527,5648,2934,2455,447758,44697,47118,48460,45649,39151,34965,31019,27631,25420,22435,20061,17061,14771,10873,7877,4947,5623
,....Palawan *,934669,102307,111213,107457,99910,88012,75837,64074,57520,49952,43381,36303,30864,24549,17559,11716,7201,6814,484231,52977,57247,55567,51098,45641,39098,33355,30378,26672,23225,19342,16420,12645,8864,5741,3295,2666,450438,49330,53966,51890,48812,42371,36739,30719,27142,23280,20156,16961,14444,11904,8695,5975,3906,4148
,....Romblon,308072,27803,32177,34622,33662,27464,21895,19387,17499,16074,15530,14949,13258,11191,7889,5742,4407,4523,155723,14320,16736,18027,17267,14433,11238,10026,8968,8342,8018,7606,6595,5470,3526,2239,1641,1271,152349,13483,15441,16595,16395,13031,10657,9361,8531,7732,7512,7343,6663,5721,4363,3503,2766,3252
,....City of Puerto Princesa,302611,27830,28741,29525,30799,33082,28887,23954,21057,18037,15005,12888,10826,8594,5935,3583,1929,1939,151878,14361,14873,15250,15318,16184,14228,12162,10662,9102,7606,6360,5408,4266,2903,1673,815,707,150733,13469,13868,14275,15481,16898,14659,11792,10395,8935,7399,6528,5418,4328,3032,1910,1114,1232
,..REGION V (BICOL REGION),6067290,678871,697454,693247,665791,529513,438468,384849,344492,323224,284233,264872,224152,185959,136836,96149,60836,58344,3078272,351254,363215,358990,341388,272403,224267,198665,177454,165905,144653,133629,112015,90104,63084,40408,22883,17955,2989018,327617,334239,334257,324403,257110,214201,186184,167038,157319,139580,131243,112137,95855,73752,55741,37953,40389
,....Albay,1372550,138688,147794,150748,148877,123071,102774,90740,82833,77737,67298,62039,52476,43693,32546,23532,14132,13572,694002,71829,77212,78124,76236,63371,52530,46407,42484,39786,33943,31245,26083,20691,14939,9831,5273,4018,678548,66859,70582,72624,72641,59700,50244,44333,40349,37951,33355,30794,26393,23002,17607,13701,8859,9554
,....Camarines Norte,628807,73392,73278,70429,64594,54022,46058,41026,36199,33635,29648,28556,23834,19642,14064,9403,5743,5284,319622,38029,38149,36272,33059,27711,23461,21400,18549,17288,15205,14555,12074,9763,6558,3940,2090,1519,309185,35363,35129,34157,31535,26311,22597,19626,17650,16347,14443,14001,11760,9879,7506,5463,3653,3765
,....Camarines Sur,2062277,236578,236038,235370,228307,180856,149651,133229,117986,109454,94261,87159,74549,62258,46160,32188,19532,18701,1046448,122357,122977,121893,117038,93040,76723,68867,60848,56218,47775,43844,36998,29944,21252,13488,7370,5816,1015829,114221,113061,113477,111269,87816,72928,64362,57138,53236,46486,43315,37551,32314,24908,18700,12162,12885
,....Catanduanes,270775,29357,30616,30456,29822,23423,19162,16593,15064,14013,12883,12248,10499,8491,6358,4628,3404,3758,138488,15259,15821,15815,15588,12279,9958,8527,7870,7217,6760,6341,5412,4292,2940,1931,1305,1173,132287,14098,14795,14641,14234,11144,9204,8066,7194,6796,6123,5907,5087,4199,3418,2697,2099,2585
,....Masbate,906731,110676,115155,115213,103140,75243,61793,52864,46468,43710,40051,36844,31160,26166,18917,12583,8649,8099,459662,56984,59438,59255,52630,38199,31325,27571,24186,22529,20482,18446,15616,12797,8770,5405,3326,2703,447069,53692,55717,55958,50510,37044,30468,25293,22282,21181,19569,18398,15544,13369,10147,7178,5323,5396
,....Sorsogon,826150,90180,94573,91031,91051,72898,59030,50397,45942,44675,40092,38026,31634,25709,18791,13815,9376,8930,420050,46796,49618,47631,46837,37803,30270,25893,23517,22867,20488,19198,15832,12617,8625,5813,3519,2726,406100,43384,44955,43400,44214,35095,28760,24504,22425,21808,19604,18828,15802,13092,10166,8002,5857,6204
,..REGION VI (WESTERN VISAYAS),7935531,761614,790100,792840,760622,697690,635733,570299,507673,460579,408204,378155,334290,282080,211752,142747,95758,105395,4029971,392881,410646,410418,390303,358894,328201,298565,266510,242002,210679,191187,166574,135277,97537,60542,36459,33296,3905560,368733,379454,382422,370319,338796,307532,271734,241163,218577,197525,186968,167716,146803,114215,82205,59299,72099
,....Aklan,612985,56731,59025,61231,57716,55483,50879,45503,40676,36030,30649,28425,24598,21008,16178,11763,8087,9003,311800,29275,30727,31769,29721,28831,26449,23776,21370,19027,15977,14522,12300,10086,7561,4867,2994,2548,301185,27456,28298,29462,27995,26652,24430,21727,19306,17003,14672,13903,12298,10922,8617,6896,5093,6455
,....Antique,611478,61955,62332,61663,60744,53798,46827,42218,37358,34176,30504,28259,25435,21467,15986,11315,8158,9283,311752,31973,32294,31955,31323,28015,24549,22222,19749,18157,15996,14230,12667,10396,7358,4760,3142,2966,299726,29982,30038,29708,29421,25783,22278,19996,17609,16019,14508,14029,12768,11071,8628,6555,5016,6317
,....Capiz,803879,73914,74989,76921,77690,74044,65711,57105,51054,47160,41627,39353,34915,29681,22640,15152,10409,11514,408201,38055,38796,40062,39725,38026,33988,30095,26944,24913,21747,19903,17542,14229,10362,6394,3922,3498,395678,35859,36193,36859,37965,36018,31723,27010,24110,22247,19880,19450,17373,15452,12278,8758,6487,8016
,....Guimaras,187576,17749,18190,17810,16914,15980,15106,14172,12847,11234,9970,8866,8083,6920,5093,3502,2315,2825,96174,9177,9435,9139,8689,8398,7698,7355,6819,6083,5201,4589,4098,3486,2504,1575,965,963,91402,8572,8755,8671,8225,7582,7408,6817,6028,5151,4769,4277,3985,3434,2589,1927,1350,1862
,....Iloilo *,2048039,186638,198335,201326,193780,176892,161304,149759,133513,121074,106080,98971,87513,74482,57109,40859,27755,32649,1042387,96340,103426,104344,100165,91409,83870,78456,70039,63923,55110,50472,43921,36095,26383,17269,10687,10478,1005652,90298,94909,96982,93615,85483,77434,71303,63474,57151,50970,48499,43592,38387,30726,23590,17068,22171
,....Negros Occidental *,2618672,265646,279529,277991,260072,224217,206392,181446,159528,145139,132853,122452,108995,90307,66304,41579,28036,28186,1337724,137171,145269,143664,133621,115738,106624,95787,84600,76610,68336,62281,54750,43740,31060,18174,10850,9449,1280948,128475,134260,134327,126451,108479,99768,85659,74928,68529,64517,60171,54245,46567,35244,23405,17186,18737
,....City of Bacolod,597615,54279,55170,55872,55429,54927,50345,45123,40913,37243,32529,29615,25168,21704,16213,10478,6192,6415,296351,28013,28747,28842,27687,27334,25309,22963,20849,18742,16279,14432,12068,9757,7000,4277,2216,1836,301264,26266,26423,27030,27742,27593,25036,22160,20064,18501,16250,15183,13100,11947,9213,6201,3976,4579
,....City of Iloilo,455287,44702,42530,40026,38277,42349,39169,34973,31784,28523,23992,22214,19583,16511,12229,8099,4806,5520,225582,22877,21952,20643,19372,21143,19714,17911,16140,14547,12033,10758,9228,7488,5309,3226,1683,1558,229705,21825,20578,19383,18905,21206,19455,17062,15644,13976,11959,11456,10355,9023,6920,4873,3123,3962
,..REGION VII (CENTRAL VISAYAS),8046285,818141,830817,811557,777388,734870,688051,597437,519606,461649,404475,356375,311361,254829,189437,125864,82159,82269,4081138,423959,431637,419576,397400,373697,350216,308209,268314,237155,206045,179404,155191,123750,88553,55714,33456,28862,3965147,394182,399180,391981,379988,361173,337835,289228,251292,224494,198430,176971,156170,131079,100884,70150,48703,53407
,....Bohol,1390524,132580,138284,141748,142232,116766,102699,93664,84031,78813,72768,66695,59376,50666,37716,28982,21348,22156,707896,68723,72209,73482,73397,60662,52944,48448,43577,40977,37547,33985,29846,24955,17716,12855,8718,7855,682628,63857,66075,68266,68835,56104,49755,45216,40454,37836,35221,32710,29530,25711,20000,16127,12630,14301
,....Cebu *,3309850,354932,361115,343828,320928,297879,277627,241615,212166,187429,162226,141235,122830,100023,75654,49055,31204,30104,1685185,183887,187788,178283,165001,152643,141582,124679,109710,96621,83046,71498,61746,48753,35221,21781,12579,10367,1624665,171045,173327,165545,155927,145236,136045,116936,102456,90808,79180,69737,61084,51270,40433,27274,18625,19737
,....Negros Oriental,1428548,144362,148048,145488,138440,124817,116878,100381,86644,77278,71501,65958,61444,50591,38906,24382,16122,17308,726883,74867,76626,74887,70409,63566,60130,52646,45350,40042,36437,32931,30698,24788,18836,11129,6930,6611,701665,69495,71422,70601,68031,61251,56748,47735,41294,37236,35064,33027,30746,25803,20070,13253,9192,10697
,....Siquijor,103014,8037,9044,9237,9453,8235,7797,7230,6730,6305,5950,5498,4936,4285,3466,2562,2076,2173,51916,4156,4589,4769,4841,4242,3998,3680,3474,3265,3051,2871,2484,2077,1673,1115,887,744,51098,3881,4455,4468,4612,3993,3799,3550,3256,3040,2899,2627,2452,2208,1793,1447,1189,1429
,....City of Cebu,958626,95344,92113,89791,89437,98691,93898,78195,65268,56277,47881,41703,35312,28542,19943,12521,6978,6732,478858,49130,47631,46233,44902,48629,47304,39997,33302,28411,23794,20320,17036,13246,8922,5295,2641,2065,479768,46214,44482,43558,44535,50062,46594,38198,31966,27866,24087,21383,18276,15296,11021,7226,4337,4667
,....City of Lapu-Lapu (Opon),494672,50673,50670,50092,45046,49598,49997,43764,37509,31968,24736,19093,14468,11014,7296,4538,2348,1862,247486,26305,26326,25821,22730,24483,24298,21767,18878,15927,12334,9599,7068,5280,3291,1910,881,588,247186,24368,24344,24271,22316,25115,25699,21997,18631,16041,12402,9494,7400,5734,4005,2628,1467,1274
,....City of Mandaue,361051,32213,31543,31373,31852,38884,39155,32588,27258,23579,19413,16193,12995,9708,6456,3824,2083,1934,182914,16891,16468,16101,16120,19472,19960,16992,14023,11912,9836,8200,6313,4651,2894,1629,820,632,178137,15322,15075,15272,15732,19412,19195,15596,13235,11667,9577,7993,6682,5057,3562,2195,1263,1302
,..REGION VIII (EASTERN VISAYAS),4531512,475606,499076,497039,477859,403189,337361,290155,258744,244033,222459,205219,177439,149825,110013,80028,53046,50421,2321372,245923,259378,257290,245200,208547,174454,151879,135843,127667,115874,105425,90841,74938,52604,35739,21907,17863,2210140,229683,239698,239749,232659,194642,162907,138276,122901,116366,106585,99794,86598,74887,57409,44289,31139,32558
,....Biliran,178715,18056,20361,20126,18496,14982,12720,10894,9969,9499,8903,8460,7385,6123,4691,3478,2276,2296,91058,9417,10573,10468,9575,7688,6560,5649,5192,4880,4649,4274,3705,3040,2181,1540,893,774,87657,8639,9788,9658,8921,7294,6160,5245,4777,4619,4254,4186,3680,3083,2510,1938,1383,1522
,....Eastern Samar,475847,47664,50770,52123,51897,43768,35190,29981,26550,25251,23509,21557,18415,15532,11549,8982,6466,6643,246328,24738,26335,26933,26864,22921,18438,15982,14145,13428,12403,11234,9742,7872,5714,4265,2872,2442,229519,22926,24435,25190,25033,20847,16752,13999,12405,11823,11106,10323,8673,7660,5835,4717,3594,4201
,....Leyte *,1771011,186812,192954,191067,177421,150924,133575,117942,104739,97533,86880,80595,71729,61925,45664,31940,20163,19148,907015,96417,100273,99122,90802,77982,68811,61664,55407,51410,45308,41255,36860,30963,21858,14249,8121,6513,863996,90395,92681,91945,86619,72942,64764,56278,49332,46123,41572,39340,34869,30962,23806,17691,12042,12635
,....Northern Samar,636995,71148,76340,76316,74004,59070,45178,37868,33405,31795,29776,26447,21919,17804,13272,9782,6878,5993,326304,36738,39560,39448,38072,30856,23503,19887,17504,16422,15311,13580,10960,8845,6264,4342,2816,2196,310691,34410,36780,36868,35932,28214,21675,17981,15901,15373,14465,12867,10959,8959,7008,5440,4062,3797
,....Samar (Western Samar),791045,85393,90700,89209,89008,73724,58912,47203,42464,40929,39075,35089,28929,23899,17154,12744,8753,7860,406789,44028,47145,45907,45527,38132,30755,24949,22226,21538,20518,18306,15026,12129,8336,5580,3708,2979,384256,41365,43555,43302,43481,35592,28157,22254,20238,19391,18557,16783,13903,11770,8818,7164,5045,4881
,....Southern Leyte,428484,39629,41193,43526,42824,35568,30268,28114,25680,25160,22284,22229,19635,16924,12571,9688,6513,6678,218053,20710,21596,22668,22102,18302,15471,14478,13103,12909,11595,11394,9885,8412,5963,4352,2716,2397,210431,18919,19597,20858,20722,17266,14797,13636,12577,12251,10689,10835,9750,8512,6608,5336,3797,4281
,....City of Tacloban,249415,26904,26758,24672,24209,25153,21518,18153,15937,13866,12032,10842,9427,7618,5112,3414,1997,1803,125825,13875,13896,12744,12258,12666,10916,9270,8266,7080,6090,5382,4663,3677,2288,1411,781,562,123590,13029,12862,11928,11951,12487,10602,8883,7671,6786,5942,5460,4764,3941,2824,2003,1216,1241
,..REGION IX (ZAMBOANGA PENINSULA),3862588,426337,442916,426881,396373,352878,311168,264437,228066,210498,186783,165651,139240,113784,82846,51947,31773,31010,1966201,218870,228622,218525,201572,179142,158932,136875,118530,109718,95991,84151,70798,56128,39932,23330,13469,11616,1896387,207467,214294,208356,194801,173736,152236,127562,109536,100780,90792,81500,68442,57656,42914,28617,18304,19394
