,,Total Income,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,"35,599.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,"43,303.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,"47,315.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,"51,263.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,"28,839.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,"28,038.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,lgu,year,lgutype,elecyr,lgusincome,totlocsrc,ira,tottax,totexsrc,govexp,pubwelf,educexp,healthexp,laborexp,housingexp,socservexp,econdevexp,totexp,,,,,,,,,,,,,,,,
NCR,MUNTINLUPA CITY,2020,City,2019,5860.127166,4301.036985,1209.318714,3475.875296,1559.090181,1462.827417,1089.697888,256.4462083,241.7359663,9.29030914,48.86409033,533.3613139,1852.212334,4404.73764,,,2019,8092.55,4864.81,,,,,,,,,,,
NCR,NAVOTAS CITY,2020,City,2019,1878.606861,920.9501655,716.974452,580.7201381,957.6566959,461.5375664,217.2315013,67.70950815,68.99362032,0,0.18871893,80.33965385,271.5405458,950.3096134,,,2020,8499.28,6682.45,,,,,,,,,,,
NCR,PARAÑAQUE CITY,2020,City,2019,8022.90649,6388.512758,1508.671138,5618.624708,1634.393733,2060.847341,2079.91429,338.8514753,594.4110403,1.50625676,662.4205867,482.7249313,512.7137998,4653.475432,,,2021,8677.71,6901.29,,,,,,,,,,,
NCR,PASAY CITY,2020,City,2019,6853.571504,5576.622512,1025.056203,5169.768502,1276.948993,1497.130331,3062.713744,461.4379398,874.1172427,7.26320223,479.0397693,1240.85559,414.0364191,4973.880494,,,2022,9552.90,6546.73,,,,,,,,,,,
NCR,PASIG CITY,2020,City,2019,12190.4993,9858.61382,1672.917096,8108.196434,2331.885478,3486.040487,1652.776897,957.9149196,500.5877373,38.34556935,0,155.9286713,3314.93628,8453.753665,,,,,,,,,,,,,,,,
NCR,QUEZON CITY,2020,City,2019,28819.39539,22046.97792,5749.443177,20795.53789,6772.41748,15102.55739,6961.207752,1965.149998,2151.999073,62.74554136,2249.036736,532.2764036,680.5055991,22744.27074,,,,,,,,,,,,,,,,
NCR,SAN JUAN CITY,2020,City,2019,2292.13279,1765.059084,483.046834,1604.963968,527.0737058,773.6023219,887.9533486,165.3882213,439.6271758,0,174.6737217,108.2642298,77.54781925,1739.10349,,,,,,,,,,,,,,,,
NCR,TAGUIG CITY,2020,City,2019,12846.65429,10465.4743,1759.90234,9537.283001,2381.179988,7215.169526,4104.7956,952.6834467,1233.114934,0,2.31396277,1916.683256,320.0394927,11640.00462,,,,,,,,,,,,,,,,
NCR,VALENZUELA CITY,2020,City,2019,5036.953663,3483.252951,1426.674991,2902.014613,1553.700712,2046.154183,1938.005403,651.3592562,548.3451097,5.22441626,578.8637997,154.2128211,194.7536908,4178.913277,,,,,,,,,,,,,,,,
NCR,CALOOCAN CITY,2019,City,2019,6271.999966,3415.021893,2837.067994,2849.133823,2856.978073,1408.967052,1003.332919,192.2501562,479.7635911,32.314411,36.67828628,262.3264746,704.6965982,3116.996569,,,,,,,,,,,,,,,,
NCR,LAS PIÑAS CITY,2019,City,2019,3374.388924,2163.329622,1208.244998,1789.260726,1211.059302,927.9475806,1176.516492,270.0268974,439.4289517,3.89760695,289.7687783,173.3942581,297.5912244,2402.055297,,,,,,,,,,,,,,,,
NCR,MAKATI CITY,2019,City,2019,16483.13719,14957.33155,1185.909096,13764.26588,1525.805635,3593.351018,7381.38004,2423.194046,3374.936649,44.06044835,0,1539.188896,1074.185198,12048.91626,,,,,,,,,,,,,,,,
NCR,MALABON CITY,2019,City,2019,1790.3546,954.0047033,832.646868,691.8586573,836.3498966,444.1235766,426.3236961,137.1168981,158.3362695,4.91324091,14.29426014,111.6630274,210.0541634,1080.501436,,,,,,,,,,,,,,,,
NCR,MANDALUYONG CITY,2019,City,2019,5355.766731,4490.465532,860.777016,4140.100186,865.301199,1399.50802,2407.090814,724.45963,878.055995,7.04642,407.698688,389.830081,454.202373,4260.801207,,,,,,,,,,,,,,,,
NCR,MANILA CITY,2019,City,2019,15597.293,12292.80173,3128.257506,10827.67973,3304.491275,1907.332029,4897.691347,1071.956051,2455.553765,0,871.915758,498.2657734,1062.311024,7867.3344,,,,,,,,,,,,,,,,
NCR,MARIKINA CITY,2019,City,2019,2669.735994,1688.420821,975.37396,1251.047086,981.3151726,1213.872221,696.6833141,324.497854,115.4840355,2.6258906,222.8631559,31.21237815,117.07677,2027.632305,,,,,,,,,,,,,,,,
NCR,MUNTINLUPA CITY,2019,City,2019,5619.306201,4317.184824,1077.745216,3347.0282,1302.121376,1555.793844,1205.451887,288.2830736,261.0665948,23.70072725,60.22386576,572.1776259,1421.522651,4182.768383,,,,,,,,,,,,,,,,
NCR,NAVOTAS CITY,2019,City,2019,1684.479854,968.2906966,639.222876,547.8777717,716.1891575,344.1271046,161.3986902,60.20523948,65.12302207,0,0,36.07042861,271.0442602,776.5700549,,,,,,,,,,,,,,,,
NCR,PARAÑAQUE CITY,2019,City,2019,7014.104928,5669.712134,1344.392794,4964.163385,1344.392794,1527.929025,1687.822402,418.0380808,428.9471465,3.32241313,517.7132868,319.801475,226.2861977,3442.037625,,,,,,,,,,,,,,,,
NCR,PASAY CITY,2019,City,2019,6751.254137,5545.245163,913.649374,5102.561521,1206.008974,1347.2445,2753.452785,720.0904616,993.0031477,9.89842881,545.2339896,485.2267577,396.4589492,4497.156234,,,,,,,,,,,,,,,,
NCR,PASIG CITY,2019,City,2019,12508.27174,10853.69717,1490.697608,8656.293863,1654.574565,1806.289957,2228.34654,999.7642144,915.6804221,121.7337462,0,191.1681571,1515.595473,5550.23197,,,,,,,,,,,,,,,,
NCR,QUEZON CITY,2019,City,2019,25100.62382,19333.62209,5121.80494,17372.81087,5767.001737,6837.344669,6322.680956,1383.479696,2346.698726,29.86675376,2028.500393,534.1353877,617.8678139,13777.89344,,,,,,,,,,,,,,,,
NCR,SAN JUAN CITY,2019,City,2019,2146.679606,1710.828798,430.84846,1485.857276,435.8508079,819.8565043,649.6910132,170.4664512,321.8100411,0,119.3460128,38.06850816,97.09524584,1566.642763,,,,,,,,,,,,,,,,
NCR,TAGUIG CITY,2019,City,2019,12602.41784,10345.55321,1568.188168,8907.206448,2256.864629,2934.360671,4227.751405,1088.252311,450.3980256,0.26998906,44.39203406,2644.439045,489.1285636,7651.240639,,,,,,,,,,,,,,,,
NCR,VALENZUELA CITY,2019,City,2019,4510.938509,3233.699944,1271.351054,2644.152673,1277.238565,1615.977426,1805.292384,703.5075597,467.9031845,5.74668398,498.402995,129.7319609,166.9049149,3588.174725,,,,,,,,,,,,,,,,
NCR,CALOOCAN CITY,2018,City,2016,5732.257766,3154.497859,2558.213242,2592.58777,2577.759907,1772.703182,805.0856489,230.2650497,369.3594133,30.23761308,24.51316748,150.7104052,821.4675908,3399.256422,,,,,,,,,,,,,,,,
NCR,LAS PIÑAS CITY,2018,City,2016,2983.37536,1875.062357,1100.156221,1554.891845,1108.313003,919.1853294,961.6714943,208.4717014,380.5224966,3.27307291,275.7742552,93.62996821,282.9843701,2163.841194,,,,,,,,,,,,,,,,
NCR,MAKATI CITY,2018,City,2016,15742.63365,14354.6905,1138.074768,13120.29337,1387.943151,3524.743663,6851.768391,1980.693038,3301.075775,66.30370134,0,1503.695876,1099.557773,11476.06983,,,,,,,,,,,,,,,,
NCR,MALABON CITY,2018,City,2016,1703.866347,915.3991684,762.824864,662.2191033,788.4671787,369.749017,428.243832,160.2666859,136.151175,5.54640891,13.82281236,112.4567499,187.3207243,985.3135734,,,,,,,,,,,,,,,,
NCR,MANDALUYONG CITY,2018,City,2016,4936.259035,4121.713159,810.474167,3766.859074,814.545876,1315.884837,2009.991085,614.932583,826.898005,5.687304,317.241366,245.231827,471.116058,3796.99198,,,,,,,,,,,,,,,,
NCR,MANILA CITY,2018,City,2016,13847.03142,10735.37802,2881.544183,9403.355568,3111.653402,1671.246487,4738.521699,1063.683986,2290.40929,0,922.8123898,461.616034,1007.849247,7417.617433,,,,,,,,,,,,,,,,
NCR,MARIKINA CITY,2018,City,2016,2525.334896,1630.508528,887.516988,1213.524494,894.8263675,979.0262769,649.8422971,229.2141526,96.07636516,2.52022207,311.2849501,10.7466071,142.4205646,1771.289139,,,,,,,,,,,,,,,,
NCR,MUNTINLUPA CITY,2018,City,2016,5103.669058,3901.681262,978.908883,2968.814812,1201.987797,1399.993893,1579.828564,396.7178161,695.4245976,20.21580315,20.25684263,447.213504,494.5080873,3474.330544,,,,,,,,,,,,,,,,
NCR,NAVOTAS CITY,2018,City,2016,1516.462804,878.1243383,584.258976,516.0363579,638.3384657,284.863982,137.8617453,49.01317262,61.24030567,0,0,27.60826696,239.9573612,662.6830885,,,,,,,,,,,,,,,,
NCR,PARAÑAQUE CITY,2018,City,2016,6366.575961,5451.797808,914.778153,4872.600797,914.778153,1376.733047,1410.259309,230.7827385,388.8611219,11.23843264,526.7456987,252.631317,242.1067804,3029.099136,,,,,,,,,,,,,,,,
NCR,PASAY CITY,2018,City,2016,5906.607122,4817.634673,822.667671,4388.90673,1088.972449,1051.597438,2306.764805,342.3342063,799.9782631,6.88342445,339.9306556,817.6382557,315.6789017,3674.041144,,,,,,,,,,,,,,,,
NCR,PASIG CITY,2018,City,2016,12022.09945,10507.70202,1359.000222,8593.857376,1514.397425,1503.003672,1997.214941,1041.136599,698.0348758,85.48191211,0,172.5615538,1581.243834,5081.462448,,,,,,,,,,,,,,,,
NCR,QUEZON CITY,2018,City,2016,21743.5733,16569.77231,4650.499676,14616.97117,5173.800994,6347.492299,5295.197921,1253.072539,1527.452548,25.41872161,2059.156176,430.0979366,880.096317,12522.78654,,,,,,,,,,,,,,,,
NCR,SAN JUAN CITY,2018,City,2016,1875.291569,1462.474375,395.335184,1247.138471,412.8171948,709.7865962,500.8824578,158.1113022,89.93937641,0,223.9480262,28.88375303,241.9024917,1452.571546,,,,,,,,,,,,,,,,
NCR,TAGUIG CITY,2018,City,2016,10784.01531,8786.824876,1418.245228,7791.437735,1997.190431,1952.055172,2929.759619,262.1121659,663.1272038,0.01186632,316.0577345,1688.450649,341.184489,5222.99928,,,,,,,,,,,,,,,,
NCR,VALENZUELA CITY,2018,City,2016,4170.225967,3007.953169,1159.209984,2482.474291,1162.272798,1318.51426,1662.444932,668.489025,422.2945416,5.4809168,448.550259,117.6301899,204.305493,3185.264685,,,,,,,,,,,,,,,,
NCR,CALOOCAN CITY,2017,City,2016,5629.17778,3232.044995,2381.423345,2644.936365,2397.132785,590.5659082,1721.254761,214.8348351,302.9811937,27.03845893,0,1176.400273,134.7958862,2446.616555,,,,,,,,,,,,,,,,
NCR,LAS PIÑAS CITY,2017,City,2016,2740.247992,1707.439817,1024.866284,1416.384606,1032.808174,797.3808588,906.457669,198.5073808,364.8398796,2.51398966,260.8918846,79.70453437,208.3420123,1912.18054,,,,,,,,,,,,,,,,
NCR,MAKATI CITY,2017,City,2016,15039.35213,13690.25106,1064.175677,12592.78745,1349.101073,4215.620849,5434.85956,1761.522337,2435.925379,0,0,1237.411844,980.3947636,10630.87517,,,,,,,,,,,,,,,,
NCR,MALABON CITY,2017,City,2016,1537.252621,806.8550622,710.93906,606.5987189,730.3975586,341.0636015,345.0632825,143.6639941,115.5015025,3.4321141,13.46166354,69.00400816,152.6256672,838.7525511,,,,,,,,,,,,,,,,
